Date_assay,Batch,Session,Session_order,Unit,Assay,Assay_ID_complex,Assay_ID,Operator,Time
8/6/2022,4,M,3,U1,habituation,4_M_3_U1_habituation,W026,EM,12:03
8/6/2022,4,M,1,U1,locomotion,4_M_1_U1_locomotion,W027,SB,10:13
8/6/2022,4,M,2,U1,habituation,4_M_2_U1_habituation,W028,SB,10:47
8/6/2022,4,M,3,U4,ymaze_P1,4_M_3_U4_ymaze_P1,Y040,SB,11:23
8/6/2022,4,M,3,U3,ymaze_P2,4_M_3_U3_ymaze_P2,Y041,SB,11:23
8/6/2022,4,M,3,U2,ymaze_P3,4_M_3_U2_ymaze_P3,Y042,SB,11:23
8/6/2022,4,A,1,U4,ymaze_P1,4_A_1_U4_ymaze_P1,Y043,SB,13:49
8/6/2022,4,A,1,U3,ymaze_P2,4_A_1_U3_ymaze_P2,Y044,SB,13:50
8/6/2022,4,A,1,U2,ymaze_P3,4_A_1_U2_ymaze_P3,Y045,SB,13:51
8/6/2022,4,A,2,U1,locomotion,4_A_2_U1_locomotion,W029,SB,15:00
8/6/2022,4,A,3,U1,habituation,4_A_3_U1_habituation,W030,SB,15:33
8/6/2022,4,A,1,U1,locomotion,4_A_1_U1_locomotion,W031,EM,13:45
8/6/2022,4,A,2,U1,habituation,4_A_2_U1_habituation,W032,EM,14:19
8/6/2022,4,A,3,U4,ymaze_P1,4_A_3_U4_ymaze_P1,Y046,EM,14:48
8/6/2022,4,A,3,U3,ymaze_P2,4_A_3_U3_ymaze_P2,Y047,EM,14:48
8/6/2022,4,A,3,U2,ymaze_P3,4_A_3_U2_ymaze_P3,Y048,EM,14:48
14/5/2022,5,M,1,U4,ymaze_P1,5_M_1_U4_ymaze_P1,Y049,EM,10:06
14/5/2022,5,M,1,U3,ymaze_P2,5_M_1_U3_ymaze_P2,Y050,EM,10:06
14/5/2022,5,M,1,U2,ymaze_P3,5_M_1_U2_ymaze_P3,Y051,EM,10:06
14/5/2022,5,M,2,U1,locomotion,5_M_2_U1_locomotion,W033,EM,11:25
14/5/2022,5,M,3,U1,habituation,5_M_3_U1_habituation,W034,EM,12:03
14/5/2022,5,M,1,U1,locomotion,5_M_1_U1_locomotion,W035,SB,10:15
14/5/2022,5,M,2,U1,habituation,5_M_2_U1_habituation,W036,SB,10:45
14/5/2022,5,M,3,U4,ymaze_P1,5_M_3_U4_ymaze_P1,Y052,SB,10:16
14/5/2022,5,M,3,U3,ymaze_P2,5_M_3_U3_ymaze_P2,Y053,SB,11:18
