"Individual_ID","LLL","LLR","LRL","LRR","RLL","RLR","RRL","RRR","L","R","total_turns","reps","alter","partial","rel_reps","rel_alter","rel_R","rel_L","asymmetry","Date","ID","Batch","Session","Assay_name","Assay_ID","Treatment","Sex","Treatment_Sex","Position","Comment","Exclude_mean","Exclude_correlation"
"Y023_6",24,24,23,20,25,19,21,55,93,120,213,79,42,90,37.0892018779343,19.7183098591549,56.3380281690141,43.6619718309859,-0.290322580645161,2022-06-01,314,2,"A","Ymaze","Y023","GM","M","GM-M","6",NA,"keep","keep"
"Y023_7",37,11,9,8,11,6,8,22,67,47,114,59,15,38,51.7543859649123,13.1578947368421,41.2280701754386,58.7719298245614,0.298507462686567,2022-06-01,315,2,"A","Ymaze","Y023","GM","M","GM-M","7",NA,"keep","keep"
"Y023_8",19,6,6,2,6,3,2,4,34,16,50,23,9,16,46,18,32,68,0.529411764705882,2022-06-01,316,2,"A","Ymaze","Y023","GS","M","GS-M","8",NA,"keep","keep"
"Y023_9",3,5,2,12,5,8,11,75,22,101,123,78,10,33,63.4146341463415,8.13008130081301,82.1138211382114,17.8861788617886,-3.59090909090909,2022-06-01,317,2,"A","Ymaze","Y023","GS","M","GS-M","9",NA,"keep","keep"
"Y024_1",19,8,7,3,8,2,3,2,39,15,54,21,9,22,38.8888888888889,16.6666666666667,27.7777777777778,72.2222222222222,0.615384615384615,2022-06-01,323,2,"A","Ymaze","Y024","GS","F","GS-F","1",NA,"keep","keep"
"Y024_10",20,16,15,14,16,13,14,28,67,71,138,48,28,60,34.7826086956522,20.2898550724638,51.4492753623188,48.5507246376812,-0.0597014925373134,2022-06-01,332,2,"A","Ymaze","Y024","I","M","I-M","10",NA,"keep","keep"
"Y024_11",15,7,5,9,7,7,9,20,38,43,81,35,12,32,43.2098765432099,14.8148148148148,53.0864197530864,46.9135802469136,-0.131578947368421,2022-06-01,333,2,"A","Ymaze","Y024","I","M","I-M","11",NA,"keep","keep"
"Y024_12",31,17,21,15,16,19,14,12,84,63,147,43,40,62,29.2517006802721,27.2108843537415,42.8571428571429,57.1428571428571,0.25,2022-06-01,334,2,"A","Ymaze","Y024","I","M","I-M","12",NA,"keep","keep"
"Y024_13",69,25,16,24,25,15,25,31,135,97,232,100,31,99,43.1034482758621,13.3620689655172,41.8103448275862,58.1896551724138,0.281481481481481,2022-06-01,335,2,"A","Ymaze","Y024","I","M","I-M","13",NA,"keep","keep"
"Y024_14",1,2,2,4,2,3,4,6,10,16,26,7,5,12,26.9230769230769,19.2307692307692,61.5384615384615,38.4615384615385,-0.6,2022-06-01,336,2,"A","Ymaze","Y024","I","M","I-M","14",NA,"keep","keep"
"Y024_15",0,0,3,0,0,2,0,0,4,3,7,0,5,0,0,71.4285714285714,42.8571428571429,57.1428571428571,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y024_2",18,4,2,2,3,0,2,6,27,12,39,24,2,11,61.5384615384615,5.12820512820513,30.7692307692308,69.2307692307692,0.555555555555556,2022-06-01,324,2,"A","Ymaze","Y024","GS","F","GS-F","2",NA,"keep","keep"
"Y024_3",31,9,5,4,8,1,4,8,50,22,72,39,6,25,54.1666666666667,8.33333333333333,30.5555555555556,69.4444444444444,0.56,2022-06-01,325,2,"A","Ymaze","Y024","GS","F","GS-F","3",NA,"keep","keep"
"Y024_4",15,6,7,5,7,6,6,9,35,28,63,24,13,24,38.0952380952381,20.6349206349206,44.4444444444444,55.5555555555556,0.2,2022-06-01,326,2,"A","Ymaze","Y024","GS","F","GS-F","4",NA,"keep","keep"
"Y024_5",0,0,0,1,0,0,0,4,1,6,7,4,0,1,57.1428571428571,0,85.7142857142857,14.2857142857143,-5,2022-06-01,327,2,"A","Ymaze","Y024","GS","F","GS-F","5",NA,"keep","keep"
"Y024_6",59,17,18,12,16,14,12,17,107,60,167,76,32,57,45.5089820359281,19.1616766467066,35.9281437125749,64.0718562874251,0.439252336448598,2022-06-01,328,2,"A","Ymaze","Y024","GS","F","GS-F","6",NA,"keep","keep"
"Y024_7",15,6,1,9,5,4,9,4,32,23,55,19,5,29,34.5454545454545,9.09090909090909,41.8181818181818,58.1818181818182,0.28125,2022-06-01,329,2,"A","Ymaze","Y024","GS","F","GS-F","7",NA,"keep","keep"
"Y024_8",13,0,2,3,1,5,3,42,20,51,71,55,7,7,77.4647887323944,9.85915492957746,71.830985915493,28.169014084507,-1.55,2022-06-01,330,2,"A","Ymaze","Y024","I","M","I-M","8",NA,"keep","keep"
"Y024_9",18,6,2,10,7,6,11,54,38,78,116,72,8,34,62.0689655172414,6.89655172413793,67.2413793103448,32.7586206896552,-1.05263157894737,2022-06-01,331,2,"A","Ymaze","Y024","I","M","I-M","9",NA,"keep","keep"
"Y025_1",8,12,14,14,12,16,14,15,49,58,107,23,30,52,21.4953271028037,28.0373831775701,54.2056074766355,45.7943925233645,-0.183673469387755,2022-06-07,337,3,"M","Ymaze","Y025","I","M","I-M","1",NA,"keep","keep"
"Y025_11",1,2,2,3,2,3,2,4,8,13,21,5,5,9,23.8095238095238,23.8095238095238,61.9047619047619,38.0952380952381,-0.625,2022-06-07,347,3,"M","Ymaze","Y025","GM","F","GM-F","11",NA,"keep","keep"
"Y025_12",4,5,6,7,6,8,7,10,24,31,55,14,14,25,25.4545454545455,25.4545454545455,56.3636363636364,43.6363636363636,-0.291666666666667,2022-06-07,348,3,"M","Ymaze","Y025","GM","F","GM-F","12",NA,"keep","keep"
"Y025_13",1,1,2,2,2,2,2,0,8,6,14,1,4,7,7.14285714285714,28.5714285714286,42.8571428571429,57.1428571428571,0.25,2022-06-07,349,3,"M","Ymaze","Y025","GM","F","GM-F","13",NA,"keep","keep"
"Y025_14",0,1,1,0,1,0,0,0,3,2,5,0,1,2,0,20,40,60,0.333333333333333,2022-06-07,350,3,"M","Ymaze","Y025","GM","F","GM-F","14",NA,"keep","keep"
"Y025_2",48,8,2,9,8,3,9,43,67,65,132,91,5,34,68.9393939393939,3.78787878787879,49.2424242424242,50.7575757575758,0.0298507462686567,2022-06-07,338,3,"M","Ymaze","Y025","I","M","I-M","2",NA,"keep","keep"
"Y025_3",27,9,9,8,9,9,8,13,54,40,94,40,18,34,42.5531914893617,19.1489361702128,42.5531914893617,57.4468085106383,0.259259259259259,2022-06-07,339,3,"M","Ymaze","Y025","I","M","I-M","3",NA,"keep","keep"
"Y025_4",7,6,1,7,6,1,6,27,21,42,63,34,2,25,53.968253968254,3.17460317460317,66.6666666666667,33.3333333333333,-1,2022-06-07,340,3,"M","Ymaze","Y025","I","M","I-M","4",NA,"keep","keep"
"Y025_5",6,5,6,3,6,4,3,3,22,16,38,9,10,17,23.6842105263158,26.3157894736842,42.1052631578947,57.8947368421053,0.272727272727273,2022-06-07,341,3,"M","Ymaze","Y025","I","M","I-M","5",NA,"keep","keep"
"Y025_6",27,9,2,12,9,6,13,48,51,77,128,75,8,43,58.59375,6.25,60.15625,39.84375,-0.509803921568627,2022-06-07,342,3,"M","Ymaze","Y025","I","M","I-M","6",NA,"keep","keep"
"Y025_7",25,8,4,8,8,4,8,23,47,43,90,48,8,32,53.3333333333333,8.88888888888889,47.7777777777778,52.2222222222222,0.0851063829787234,2022-06-07,343,3,"M","Ymaze","Y025","I","M","I-M","7",NA,"keep","keep"
"Y025_8",5,4,2,2,4,0,3,2,14,10,24,7,2,13,29.1666666666667,8.33333333333333,41.6666666666667,58.3333333333333,0.285714285714286,2022-06-07,344,3,"M","Ymaze","Y025","GM","F","GM-F","8",NA,"keep","keep"
"Y025_9",2,1,0,1,0,0,1,0,5,2,7,2,0,3,28.5714285714286,0,28.5714285714286,71.4285714285714,0.6,2022-06-07,345,3,"M","Ymaze","Y025","GM","F","GM-F","9",NA,"keep","keep"
"Y026_1",3,10,9,9,11,8,9,37,33,65,98,40,17,39,40.8163265306122,17.3469387755102,66.3265306122449,33.6734693877551,-0.96969696969697,2022-06-07,351,3,"M","Ymaze","Y026","GS","M","GS-M","1",NA,"keep","keep"
"Y026_10",24,9,7,11,10,8,11,9,53,38,91,33,15,41,36.2637362637363,16.4835164835165,41.7582417582418,58.2417582417582,0.283018867924528,2022-06-07,360,3,"M","Ymaze","Y026","I","F","I-F","10",NA,"keep","keep"
"Y026_11",32,1,1,0,2,0,1,0,36,3,39,32,1,4,82.0512820512821,2.56410256410256,7.69230769230769,92.3076923076923,0.916666666666667,2022-06-07,361,3,"M","Ymaze","Y026","I","F","I-F","11",NA,"keep","keep"
"Y026_12",13,5,1,4,5,0,4,2,25,11,36,15,1,18,41.6666666666667,2.77777777777778,30.5555555555556,69.4444444444444,0.56,2022-06-07,362,3,"M","Ymaze","Y026","I","F","I-F","12",NA,"keep","keep"
"Y026_13",4,6,5,5,6,5,6,21,21,39,60,25,10,23,41.6666666666667,16.6666666666667,65,35,-0.857142857142857,2022-06-07,363,3,"M","Ymaze","Y026","I","F","I-F","13",NA,"keep","keep"
"Y026_14",2,1,1,3,0,3,2,13,7,20,27,15,4,6,55.5555555555556,14.8148148148148,74.0740740740741,25.9259259259259,-1.85714285714286,2022-06-07,364,3,"M","Ymaze","Y026","I","F","I-F","14",NA,"keep","keep"
"Y026_2",11,5,2,6,6,3,6,4,26,19,45,15,5,23,33.3333333333333,11.1111111111111,42.2222222222222,57.7777777777778,0.269230769230769,2022-06-07,352,3,"M","Ymaze","Y026","GS","M","GS-M","2",NA,"keep","keep"
"Y026_3",0,0,0,0,0,0,0,1,0,3,3,1,0,0,33.3333333333333,0,100,0,-Inf,2022-06-07,353,3,"M","Ymaze","Y026","GS","M","GS-M","3",NA,"keep","keep"
"Y026_4",4,0,2,1,1,2,1,0,9,4,13,4,4,3,30.7692307692308,30.7692307692308,30.7692307692308,69.2307692307692,0.555555555555556,2022-06-07,354,3,"M","Ymaze","Y026","GS","M","GS-M","4",NA,"keep","keep"
"Y026_5",1,1,1,1,1,2,1,0,5,5,10,1,3,4,10,30,50,50,0,2022-06-07,355,3,"M","Ymaze","Y026","GS","M","GS-M","5",NA,"keep","keep"
"Y026_6",44,8,6,12,9,10,13,64,72,96,168,108,16,42,64.2857142857143,9.52380952380952,57.1428571428571,42.8571428571429,-0.333333333333333,2022-06-07,356,3,"M","Ymaze","Y026","GS","M","GS-M","6",NA,"keep","keep"
"Y026_7",66,7,2,7,6,2,7,67,83,83,166,133,4,27,80.1204819277108,2.40963855421687,50,50,0,2022-06-07,357,3,"M","Ymaze","Y026","GS","M","GS-M","7",NA,"keep","keep"
"Y026_8",4,6,4,15,7,13,15,20,31,55,86,24,17,43,27.906976744186,19.7674418604651,63.953488372093,36.046511627907,-0.774193548387097,2022-06-07,358,3,"M","Ymaze","Y026","I","F","I-F","8",NA,"keep","keep"
"Y026_9",11,9,13,9,10,12,9,24,44,55,99,35,25,37,35.3535353535354,25.2525252525253,55.5555555555556,44.4444444444444,-0.25,2022-06-07,359,3,"M","Ymaze","Y026","I","F","I-F","9",NA,"keep","keep"
"Y027_1",16,13,15,12,12,14,11,32,56,71,127,48,29,48,37.7952755905512,22.8346456692913,55.9055118110236,44.0944881889764,-0.267857142857143,2022-06-07,365,3,"M","Ymaze","Y027","GM","M","GM-M","1",NA,"keep","keep"
"Y027_10",3,4,4,3,4,3,3,1,14,13,27,4,7,14,14.8148148148148,25.9259259259259,48.1481481481481,51.8518518518519,0.0714285714285714,2022-06-07,374,3,"M","Ymaze","Y027","GS","F","GS-F","10",NA,"keep","keep"
